,ID,Bill,Treatment,Position,Tseen,Question,Response,Var,Q1,Q3a,Q5a,Q5b,Q5c,Q5d,Q5e,Q5f,Q5g,Q5h,Q5i,Q5j,Q5k,Q5l,Q5m,Q5n,Q5o,Q5p,Q5q,Q5r,Q6a,Q6b,Q6c,Q6d,Q6e,Q6f,Q6g,Q6h,Q6i,Q6j,Q6k,Q6l,Q6m,Q6n,Q6o,Q6p,Q6q,Q6r,Q7a,Q7b,Q7c,Q7d,Q7e,Q7f,Q8a,Q8b,Q8c,Q8d,Q8e,Q8f,Q9a,Q9b,Q9c,Q9d,Q10a,Q10b,Q10c,Q11a,Q11b,Q11c,Q11d,Q11e,Q11f,Q11g,Q12a,Q12b,Q12c,Q12d,Q13a,Q13b,Q13c,Q13d,Q13e,Q13f,Q13g,Q13h,Q13i,Q13j,Q14a,Q14b,Q14c,Q15a,GENDER,AGE,COUNTRY,EDUC,ECSTAT,PLACE,REGION,POLINT,RELIMP,RELQUANT
5627,515,1,0,3,0,Q4,5,6,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,4,2,4,4,4,4,3,4,1,1,1,1,3,3,3,3,3,3,4,4,3,5,3,3,3,3,3,3,2,2,2,2,3,2,2,3,4,4,4,3,2,29,1,5,4,6,14,2,4,7
5628,516,1,0,1,0,Q4,5,1,1,3,3,3,4,4,3,4,4,4,3,4,3,3,4,4,4,4,3,3,4,3,3,3,4,3,4,4,3,4,4,3,3,3,4,3,4,3,3,3,3,3,3,2,3,3,4,3,4,3,3,3,3,3,4,4,4,4,4,4,4,4,4,5,3,4,3,4,3,4,3,3,4,4,4,4,4,3,3,3,3,3,1,38,1,5,3,2,30,4,2,4
5629,516,2,0,2,0,Q4,5,1,1,3,3,3,4,4,3,4,4,4,3,4,3,3,4,4,4,4,3,3,4,3,3,3,4,3,4,4,3,4,4,3,3,3,4,3,4,3,3,3,3,3,3,2,3,3,4,3,4,3,3,3,3,3,4,4,4,4,4,4,4,4,4,5,3,4,3,4,3,4,3,3,4,4,4,4,4,3,3,3,3,3,1,38,1,5,3,2,30,4,2,4
5630,516,3,0,3,0,Q4,5,1,1,3,3,3,4,4,3,4,4,4,3,4,3,3,4,4,4,4,3,3,4,3,3,3,4,3,4,4,3,4,4,3,3,3,4,3,4,3,3,3,3,3,3,2,3,3,4,3,4,3,3,3,3,3,4,4,4,4,4,4,4,4,4,5,3,4,3,4,3,4,3,3,4,4,4,4,4,3,3,3,3,3,1,38,1,5,3,2,30,4,2,4
5631,517,1,1,1,0,Q4,4,2,1,3,2,2,2,4,4,4,2,3,2,2,2,2,1,2,1,4,2,3,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,4,4,4,2,2,2,2,4,2,2,2,2,2,4,4,4,5,1,4,4,4,4,4,3,2,3,2,3,3,2,3,4,3,4,4,2,28,1,5,1,4,64,2,2,3
5632,517,3,2,2,0,Q4,5,2,1,3,2,2,2,4,4,4,2,3,2,2,2,2,1,2,1,4,2,3,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,4,4,4,2,2,2,2,4,2,2,2,2,2,4,4,4,5,1,4,4,4,4,4,3,2,3,2,3,3,2,3,4,3,4,4,2,28,1,5,1,4,64,2,2,3
5633,517,2,1,3,1,Q4,5,2,1,3,2,2,2,4,4,4,2,3,2,2,2,2,1,2,1,4,2,3,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,4,4,4,2,2,2,2,4,2,2,2,2,2,4,4,4,5,1,4,4,4,4,4,3,2,3,2,3,3,2,3,4,3,4,4,2,28,1,5,1,4,64,2,2,3
5634,518,2,0,1,0,Q4,6,3,1,3,4,4,4,4,4,3,2,2,2,2,2,2,3,2,2,3,2,2,4,4,2,2,2,2,2,2,2,3,4,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,5,4,5,1,1,1,1,4,2,2,2,2,2,2,2,2,5,2,2,2,2,4,2,2,2,4,2,2,4,2,3,4,2,4,4,2,34,1,5,3,1,67,1,3,6
5635,518,1,1,2,0,Q4,5,3,1,3,4,4,4,4,4,3,2,2,2,2,2,2,3,2,2,3,2,2,4,4,2,2,2,2,2,2,2,3,4,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,5,4,5,1,1,1,1,4,2,2,2,2,2,2,2,2,5,2,2,2,2,4,2,2,2,4,2,2,4,2,3,4,2,4,4,2,34,1,5,3,1,67,1,3,6
5636,518,3,1,3,1,Q4,5,3,1,3,4,4,4,4,4,3,2,2,2,2,2,2,3,2,2,3,2,2,4,4,2,2,2,2,2,2,2,3,4,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,5,4,5,1,1,1,1,4,2,2,2,2,2,2,2,2,5,2,2,2,2,4,2,2,2,4,2,2,4,2,3,4,2,4,4,2,34,1,5,3,1,67,1,3,6
5637,519,2,1,1,0,Q4,6,4,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,3,4,4,5,4,4,3,3,3,3,3,3,3,3,3,2,2,3,3,3,4,4,4,2,2,2,2,5,5,5,1,1,2,4,4,4,5,2,1,1,1,3,2,2,2,1,2,2,2,2,3,4,3,4,3,1,32,1,3,3,2,68,2,3,7
5638,519,3,2,2,0,Q4,6,4,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,3,4,4,5,4,4,3,3,3,3,3,3,3,3,3,2,2,3,3,3,4,4,4,2,2,2,2,5,5,5,1,1,2,4,4,4,5,2,1,1,1,3,2,2,2,1,2,2,2,2,3,4,3,4,3,1,32,1,3,3,2,68,2,3,7
5639,519,1,2,3,1,Q4,4,4,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,3,4,4,5,4,4,3,3,3,3,3,3,3,3,3,2,2,3,3,3,4,4,4,2,2,2,2,5,5,5,1,1,2,4,4,4,5,2,1,1,1,3,2,2,2,1,2,2,2,2,3,4,3,4,3,1,32,1,3,3,2,68,2,3,7
5640,520,3,0,1,0,Q4,4,5,1,3,1,2,2,4,4,4,2,2,2,4,4,4,3,3,4,4,3,3,1,1,2,4,4,4,3,2,2,4,4,3,3,3,4,3,3,3,2,2,2,4,2,2,2,3,3,4,3,4,1,1,1,1,3,3,3,2,2,3,3,3,3,5,2,1,3,1,2,2,3,2,3,2,2,3,2,3,4,3,4,2,2,35,1,5,2,4,78,2,4,7
5641,520,1,2,2,0,Q4,3,5,1,3,1,2,2,4,4,4,2,2,2,4,4,4,3,3,4,4,3,3,1,1,2,4,4,4,3,2,2,4,4,3,3,3,4,3,3,3,2,2,2,4,2,2,2,3,3,4,3,4,1,1,1,1,3,3,3,2,2,3,3,3,3,5,2,1,3,1,2,2,3,2,3,2,2,3,2,3,4,3,4,2,2,35,1,5,2,4,78,2,4,7
5642,520,2,1,3,0,Q4,4,5,1,3,1,2,2,4,4,4,2,2,2,4,4,4,3,3,4,4,3,3,1,1,2,4,4,4,3,2,2,4,4,3,3,3,4,3,3,3,2,2,2,4,2,2,2,3,3,4,3,4,1,1,1,1,3,3,3,2,2,3,3,3,3,5,2,1,3,1,2,2,3,2,3,2,2,3,2,3,4,3,4,2,2,35,1,5,2,4,78,2,4,7
5643,521,3,0,1,0,Q4,3,6,1,3,4,4,4,5,5,5,3,5,4,5,5,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,2,4,3,4,2,2,2,2,2,4,4,4,2,2,2,2,4,3,3,2,2,2,4,4,4,5,2,4,4,4,4,4,4,3,5,3,3,4,3,3,3,3,5,3,2,26,1,5,4,4,28,2,3,4
5644,521,2,2,2,0,Q4,7,6,1,3,4,4,4,5,5,5,3,5,4,5,5,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,2,4,3,4,2,2,2,2,2,4,4,4,2,2,2,2,4,3,3,2,2,2,4,4,4,5,2,4,4,4,4,4,4,3,5,3,3,4,3,3,3,3,5,3,2,26,1,5,4,4,28,2,3,4
5645,521,1,1,3,0,Q4,6,6,1,3,4,4,4,5,5,5,3,5,4,5,5,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,2,4,3,4,2,2,2,2,2,4,4,4,2,2,2,2,4,3,3,2,2,2,4,4,4,5,2,4,4,4,4,4,4,3,5,3,3,4,3,3,3,3,5,3,2,26,1,5,4,4,28,2,3,4
5646,523,1,1,1,0,Q4,4,2,1,3,4,5,5,4,5,4,5,5,3,5,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,4,4,5,4,5,5,5,4,2,3,4,4,3,3,4,2,2,2,2,5,4,4,4,4,4,3,3,3,5,3,3,4,3,2,3,2,3,3,4,2,2,3,3,4,3,4,4,2,24,1,3,3,4,25,2,2,6
5647,523,3,1,2,1,Q4,6,2,1,3,4,5,5,4,5,4,5,5,3,5,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,4,4,5,4,5,5,5,4,2,3,4,4,3,3,4,2,2,2,2,5,4,4,4,4,4,3,3,3,5,3,3,4,3,2,3,2,3,3,4,2,2,3,3,4,3,4,4,2,24,1,3,3,4,25,2,2,6
5648,523,2,2,3,0,Q4,5,2,1,3,4,5,5,4,5,4,5,5,3,5,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,4,4,5,4,5,5,5,4,2,3,4,4,3,3,4,2,2,2,2,5,4,4,4,4,4,3,3,3,5,3,3,4,3,2,3,2,3,3,4,2,2,3,3,4,3,4,4,2,24,1,3,3,4,25,2,2,6
